"emp_no","salary"
10001,60117
10005,78228
10010,72488
10011,42365
10013,40000
10017,71380
10018,55881
10019,44276
10026,47585
10035,41538
10037,40000
10043,49324
10045,41971
10051,48817
10055,80024
10058,52787
10060,74686
10061,68577
10072,40000
10078,47280
10081,55786
10085,40000
10091,40000
10096,61395
10104,45312
10117,52284
10126,40000
10127,40000
10138,53574
10147,40000
10150,70122
10156,49879
10160,91622
10167,56990
10168,51818
10176,54635
10177,48041
10178,50568
10179,40000
10181,40000
10183,40000
10185,68334
10189,41222
10201,40000
10206,40000
10219,40000
10223,62922
10228,79474
10231,40000
10232,89606
10244,56292
10248,58918
10250,50330
10267,40000
10269,40000
10274,86164
10278,51703
10279,40000
10283,40000
10288,80474
10290,44274
10294,66448
10302,58239
10303,40000
10312,56705
10314,51939
10317,51129
10320,58483
10321,86819
10324,67499
10329,51664
10338,40000
10340,68132
10347,42199
10351,40000
10353,62656
10360,40000
10362,40000
10363,40401
10364,51401
10366,47229
10367,63565
10374,69568
10376,42634
10381,78510
10386,53367
10387,61374
10394,40000
10396,40393
10409,64363
10410,46546
10416,68993
10428,40000
10430,40000
10434,40000
10438,40000
10441,40000
10443,55299
10445,59438
10450,40000
10453,40000
10455,98251
10456,57599
10468,40000
10471,58951
10475,51203
10476,58221
10480,55669
10483,47423
10489,56739
10494,50094
10501,53922
10511,40000
10513,86392
10515,91484
10517,65330
10519,40000
10527,43405
10528,63813
10529,47840
10530,68487
10533,57135
10534,40000
10538,72002
10540,66067
10543,86526
10548,90631
10556,68797
10557,43289
10559,90120
10564,46660
10567,43717
10581,46569
10588,41478
10591,55131
10595,40000
10612,40000
10614,40000
10622,40000
10625,59732
10626,40000
10628,41650
10639,46291
10645,40000
10646,51562
10649,40000
10651,42023
10652,53160
10664,48215
10668,65326
10669,40000
10672,64663
10676,58226
10677,56994
10678,60389
10691,46745
10696,68913
10700,41400
10705,83673
10707,49504
10709,40000
10714,48821
10716,44101
10720,45832
10723,40000
10724,42347
10725,79207
10726,46315
10733,48013
10737,73505
10741,50265
10748,54532
10749,60829
10752,40000
10753,59507
10755,40000
10758,54186
10760,40000
10762,52172
10763,70160
10764,70720
10766,40000
10769,70229
10770,63401
10772,40000
10773,40000
10780,43654
10783,40000
10788,54887
10791,40000
10794,43485
10798,48210
10817,54602
10819,54631
10821,40000
10824,48813
10830,47420
10833,40000
10835,40000
10840,40000
10843,40000
10845,71307
10847,40000
10848,50475
10851,46644
10854,40000
10856,42965
10857,61549
10860,40000
10862,81455
10867,40000
10873,65835
10893,79803
10904,54328
10907,40000
10908,40000
10914,55565
10927,51819
10933,40000
10934,48342
10937,40000
10941,41721
10944,42872
10947,43068
10952,40000
10959,76685
10961,72047
10969,40000
10972,40000
10973,54616
10977,40000
10985,40000
10994,41471
10997,40000
10999,55946
11005,41901
11006,63287
11009,75111
11015,57076
11017,40000
11019,69387
11022,85058
11028,41111
11030,49948
11045,40000
11048,65697
11051,40000
11052,40000
11053,50489
11057,66650
11058,40000
11064,48411
11065,40000
11070,40000
11072,40000
11077,42983
11081,65686
11083,90972
11085,66437
11086,53234
11091,76253
11093,40000
11098,40000
11099,81756
11101,40000
11102,68721
11105,59803
11110,43063
11111,49777
11112,40000
11114,42370
11116,40000
11118,44310
11119,40000
11125,45360
11135,40000
11136,54770
11142,40000
11149,99680
11150,79045
11159,55943
11160,40000
11164,62630
11170,44531
11177,40000
11183,40000
11184,40000
11199,40000
11203,68049
11204,40000
11205,82102
11207,49728
11212,66041
11215,70468
11224,40000
11231,40000
11232,43863
11233,46070
11235,40000
11237,102547
11244,40000
11247,40000
11248,67711
11251,69432
11253,40000
11256,67685
11258,40000
11261,58175
11263,48695
11267,65990
11277,52519
11287,64454
11291,54307
11292,40000
11293,63418
11294,43768
11318,69853
11327,40000
11328,61119
11335,40000
11337,42659
11343,43306
11345,61656
11347,41524
11349,46356
11351,65863
11359,85969
11362,65693
11365,56463
11366,40000
11370,40000
11371,46423
11374,51611
11378,40000
11379,40000
11383,40000
11384,40000
11389,86011
11391,54638
11393,40000
11395,51673
11406,71834
11411,45516
11414,76725
11415,40000
11427,65177
11434,54798
11439,69470
11447,74396
11448,40000
11454,58237
11455,46590
11464,40000
11468,85983
11478,93693
11479,78157
11485,45743
11487,63779
11490,40000
11494,46637
11495,40220
11496,40000
11499,40000
11502,40000
11507,46183
11508,61373
11510,40000
11514,40000
11515,70182
11544,41062
11554,46065
11557,57561
11558,40000
11572,40000
11581,46950
11583,56846
11588,40000
11592,55959
11598,48112
11599,72403
11602,58575
11605,40000
11610,43598
11612,40000
11616,41900
11617,48838
11621,60596
11625,60333
11633,40000
11634,42068
11635,40000
11648,40000
11652,58583
11656,61926
11661,47700
11664,70380
11671,55227
11674,41454
11677,86658
11680,83768
11682,48241
11693,70403
11695,46989
11697,44268
11701,61097
11703,40000
11709,43381
11712,40000
11714,40000
11722,40000
11734,49728
11735,40000
11743,57591
11750,40000
11752,60876
11753,80308
11756,59493
11758,43432
11761,52986
11762,52050
11765,40000
11767,55832
11770,40000
11773,40000
11779,40000
11788,59292
11790,41777
11793,40000
11794,40000
11799,58726
11801,67265
11805,40000
11808,51897
11811,52695
11812,47297
11816,53163
11820,46244
11821,50404
11822,67396
11827,43015
11839,73024
11852,66717
11858,40335
11862,46011
11863,54220
11868,48349
11871,67424
11873,52243
11874,72605
11875,62315
11877,50777
11879,40000
11883,58135
11885,43445
11886,40000
11888,53720
11890,65525
11894,56198
11897,80049
11899,40864
11900,73147
11907,40000
11916,66691
11917,40000
11930,50704
11931,73369
11934,42846
11947,54249
11951,40000
11962,40000
11968,65439
11969,91787
11970,40000
11972,52908
11977,40000
11980,58241
11981,42925
12003,59540
12007,40000
12014,55769
12022,63140
12037,47805
12042,52176
12044,40000
12047,52051
12058,61378
12061,62796
12066,69228
12067,72160
12070,50233
12072,40000
12077,50388
12079,43632
12080,47946
12089,46288
12091,40000
12094,44788
12096,63911
12103,56188
12107,54485
12109,43689
12110,45382
12122,46398
12124,50872
12143,57666
12144,40000
12153,62254
12155,55355
12156,55022
12163,54110
12164,43366
12178,73367
12180,40000
12181,80475
12205,40000
12209,50420
12211,40000
12213,79834
12214,54681
12215,69252
12234,54921
12239,40000
12240,40000
12245,57640
12246,40000
12247,59183
12257,56495
12258,40748
12260,83671
12276,59844
12279,40000
12291,67506
12293,67543
12294,77586
12298,62015
12301,40835
12304,40000
12306,86718
12309,40000
12311,40000
12313,45777
12315,56609
12317,40000
12319,40000
12323,40000
12327,67449
12328,51299
12330,46984
12339,40000
12340,43440
12344,78222
12345,42222
12347,60248
12348,70107
12354,55329
12355,70724
12357,41576
12358,68256
12361,40883
12363,57141
12371,44303
12380,40000
12381,42211
12382,66365
12388,40000
12394,40000
12403,67679
12404,40000
12411,97610
12421,52691
12423,40099
12424,64463
12435,86207
12437,40000
12440,40000
12442,51750
12448,63278
12449,40000
12452,40000
12455,40000
12459,40000
12460,79268
12466,65175
12468,41627
12469,40000
12470,42070
12472,70082
12478,50404
12483,40000
12486,46454
12489,63306
12491,51761
12496,48654
12497,81191
12501,76082
12503,40000
12504,40000
12506,50229
12509,40000
12510,40000
12514,54241
12520,40000
12528,40000
12532,40000
12534,66715
12540,40000
12544,43653
12546,85066
12549,40000
12553,40000
12554,55348
12563,40000
12564,76772
12566,40000
12569,71357
12570,40000
12571,53163
12573,78532
12574,66284
12575,71204
12576,66325
12580,43808
12581,40000
12587,70421
12592,40000
12596,40000
12604,77262
12605,73698
12606,40000
12607,58602
12617,55663
12621,40000
12624,63183
12632,66821
12634,40000
12635,40000
12636,40000
12642,68271
12648,81440
12651,75150
12655,46933
12656,70030
12664,40000
12668,73509
12669,60719
12671,42099
12674,72992
12678,44529
12685,55726
12688,40000
12694,53019
12702,40000
12706,59515
12710,59137
12712,40130
12713,45307
12715,40000
12724,59907
12740,40000
12742,80251
12743,56932
12744,65284
12746,63044
12751,50982
12758,51525
12760,55252
12761,62465
12762,40000
12765,52069
12775,69805
12779,40000
12780,50101
12791,40000
12792,62452
12798,81145
12799,42816
12803,91789
12812,60641
12820,40000
12821,46727
12824,40000
12825,40000
12831,40000
12837,52259
12841,40000
12842,40000
12845,78888
12846,63962
12853,47160
12856,57497
12861,43169
12865,64679
12867,40000
12877,40000
12878,42552
12881,66390
